category,price,product_identifier,title,description,brand,features,quality_score
Electronics,686.37,B1P4DZHDS9,NexGen Advanced Electronics Item,Quality electronics product for everyday use. Long battery life. Fast charging.,NexGen,"[np.str_('Long battery life'), np.str_('Fast charging'), np.str_('Voice control'), np.str_('LCD display')]",0.819
Toys & Games,80.75,B1SE4QSNG7,BestChoice Premium Toys & Games Item,Quality toys & games product for everyday use. Long lasting. Easy to use.,BestChoice,"[np.str_('Long lasting'), np.str_('Easy to use'), np.str_('Durable construction'), np.str_('High quality materials')]",0.822
Food & Beverage,42.02,BXTPQIDT5C,BestChoice Classic Food & Beverage Item,Quality food & beverage product for everyday use. Great value. Easy to use.,BestChoice,"[np.str_('Great value'), np.str_('Easy to use'), np.str_('Durable construction'), np.str_('Long lasting')]",0.846
Food & Beverage,33.42,B3F1ZMC8Q6,PrimePick Premium Food & Beverage Item,Quality food & beverage product for everyday use. High quality materials. Long lasting.,PrimePick,"[np.str_('High quality materials'), np.str_('Long lasting'), np.str_('Great value'), np.str_('Durable construction')]",0.882
Toys & Games,27.52,B2NQRBTF0Y,PrimePick Classic Toys & Games Item,Quality toys & games product for everyday use. Durable construction. High quality materials.,PrimePick,"[np.str_('Durable construction'), np.str_('High quality materials'), np.str_('Great value'), np.str_('Easy to use')]",0.882
Health & Beauty,77.66,B0OL6NCQ2G,QualityFirst Professional Health & Beauty Item,Quality health & beauty product for everyday use. Easy to use. Long lasting.,QualityFirst,"[np.str_('Easy to use'), np.str_('Long lasting'), np.str_('High quality materials'), np.str_('Great value')]",0.892
Books,33.79,BELIUY7PF3,BestChoice Quality Books Item,Quality books product for everyday use. Easy to use. Great value.,BestChoice,"[np.str_('Easy to use'), np.str_('Great value'), np.str_('Long lasting'), np.str_('High quality materials')]",0.751
Toys & Games,38.11,BZ13P24N6K,BestChoice Premium Toys & Games Item,Quality toys & games product for everyday use. Great value. Durable construction.,BestChoice,"[np.str_('Great value'), np.str_('Durable construction'), np.str_('Long lasting'), np.str_('High quality materials')]",0.85
Clothing,40.85,BY3H2A222X,ComfortPlus Stylish Clothing Item,Quality clothing product for everyday use. Breathable fabric. Wrinkle resistant.,ComfortPlus,"[np.str_('Breathable fabric'), np.str_('Wrinkle resistant'), np.str_('Machine washable'), np.str_('Stretch fit')]",0.828
Books,49.04,BZUQSUBFIE,ValueBrand Premium Books Item,Quality books product for everyday use. Great value. Durable construction.,ValueBrand,"[np.str_('Great value'), np.str_('Durable construction'), np.str_('Easy to use'), np.str_('Long lasting')]",0.783
Books,33.55,BY4UC1UWUT,PrimePick Classic Books Item,Quality books product for everyday use. Durable construction. Long lasting.,PrimePick,"[np.str_('Durable construction'), np.str_('Long lasting'), np.str_('High quality materials'), np.str_('Great value')]",0.781
Electronics,490.73,BUVBMP9HJO,DigiMax Wireless Electronics Item,Quality electronics product for everyday use. LCD display. Voice control.,DigiMax,"[np.str_('LCD display'), np.str_('Voice control'), np.str_('Long battery life'), np.str_('Bluetooth connectivity')]",0.803
Health & Beauty,24.84,B43C4K7KPX,ValueBrand Quality Health & Beauty Item,Quality health & beauty product for everyday use. Great value. Easy to use.,ValueBrand,"[np.str_('Great value'), np.str_('Easy to use'), np.str_('Durable construction'), np.str_('High quality materials')]",0.846
Clothing,160.02,BU9XOOP3LG,TrendyThreads Comfortable Clothing Item,Quality clothing product for everyday use. Breathable fabric. Quick dry.,TrendyThreads,"[np.str_('Breathable fabric'), np.str_('Quick dry'), np.str_('Machine washable'), np.str_('Wrinkle resistant')]",0.836
Home & Garden,63.22,BA10ZQZF6S,TrustMark Classic Home & Garden Item,Quality home & garden product for everyday use. Easy to use. Great value.,TrustMark,"[np.str_('Easy to use'), np.str_('Great value'), np.str_('Durable construction'), np.str_('Long lasting')]",0.822
Health & Beauty,58.14,BFRQFNIKYW,QualityFirst Professional Health & Beauty Item,Quality health & beauty product for everyday use. Long lasting. Easy to use.,QualityFirst,"[np.str_('Long lasting'), np.str_('Easy to use'), np.str_('Durable construction'), np.str_('High quality materials')]",0.892
Sports & Outdoors,39.98,BNMEM8N6RZ,PrimePick Classic Sports & Outdoors Item,Quality sports & outdoors product for everyday use. Great value. High quality materials.,PrimePick,"[np.str_('Great value'), np.str_('High quality materials'), np.str_('Durable construction'), np.str_('Easy to use')]",0.898
Books,58.46,BJJ2JZ2Q0J,QualityFirst Quality Books Item,Quality books product for everyday use. Easy to use. Great value.,QualityFirst,"[np.str_('Easy to use'), np.str_('Great value'), np.str_('Long lasting'), np.str_('Durable construction')]",0.763
Electronics,1358.77,BDEQZHZL3U,SmartLife Advanced Electronics Item,Quality electronics product for everyday use. Voice control. Bluetooth connectivity.,SmartLife,"[np.str_('Voice control'), np.str_('Bluetooth connectivity'), np.str_('LCD display'), np.str_('Fast charging')]",0.854
Sports & Outdoors,259.14,BGA1RZXPLW,PrimePick Essential Sports & Outdoors Item,Quality sports & outdoors product for everyday use. Easy to use. High quality materials.,PrimePick,"[np.str_('Easy to use'), np.str_('High quality materials'), np.str_('Great value'), np.str_('Durable construction')]",0.91
Clothing,135.22,BVWD1O2BGR,TrendyThreads Casual Clothing Item,Quality clothing product for everyday use. Machine washable. Breathable fabric.,TrendyThreads,"[np.str_('Machine washable'), np.str_('Breathable fabric'), np.str_('Quick dry'), np.str_('Wrinkle resistant')]",0.831
Clothing,41.74,BLYDGV2GK7,ComfortPlus Premium Clothing Item,Quality clothing product for everyday use. Wrinkle resistant. Machine washable.,ComfortPlus,"[np.str_('Wrinkle resistant'), np.str_('Machine washable'), np.str_('Breathable fabric'), np.str_('Quick dry')]",0.825
Health & Beauty,32.97,BUWVKAF8PR,BestChoice Essential Health & Beauty Item,Quality health & beauty product for everyday use. Great value. High quality materials.,BestChoice,"[np.str_('Great value'), np.str_('High quality materials'), np.str_('Long lasting'), np.str_('Durable construction')]",0.897
Books,14.14,B2JRYRP7FU,PrimePick Essential Books Item,Quality books product for everyday use. Long lasting. Durable construction.,PrimePick,"[np.str_('Long lasting'), np.str_('Durable construction'), np.str_('Great value'), np.str_('Easy to use')]",0.792
Sports & Outdoors,91.09,BR8LTS4PKA,QualityFirst Classic Sports & Outdoors Item,Quality sports & outdoors product for everyday use. Long lasting. Durable construction.,QualityFirst,"[np.str_('Long lasting'), np.str_('Durable construction'), np.str_('Great value'), np.str_('Easy to use')]",0.912
Home & Garden,450.16,B3TFKTLDXY,BestChoice Quality Home & Garden Item,Quality home & garden product for everyday use. Easy to use. High quality materials.,BestChoice,"[np.str_('Easy to use'), np.str_('High quality materials'), np.str_('Great value'), np.str_('Durable construction')]",0.866
Electronics,1006.16,BK0071LDW6,DigiMax Pro Electronics Item,Quality electronics product for everyday use. LCD display. Bluetooth connectivity.,DigiMax,"[np.str_('LCD display'), np.str_('Bluetooth connectivity'), np.str_('Fast charging'), np.str_('Voice control')]",0.805
Health & Beauty,10.69,BIFTTNL3Q3,ValueBrand Essential Health & Beauty Item,Quality health & beauty product for everyday use. Great value. Long lasting.,ValueBrand,"[np.str_('Great value'), np.str_('Long lasting'), np.str_('Easy to use'), np.str_('High quality materials')]",0.862
Health & Beauty,76.61,BLWKWS6J97,BestChoice Essential Health & Beauty Item,Quality health & beauty product for everyday use. Long lasting. Durable construction.,BestChoice,"[np.str_('Long lasting'), np.str_('Durable construction'), np.str_('Great value'), np.str_('Easy to use')]",0.894
Clothing,23.31,BFKP89F6D0,StyleFit Lightweight Clothing Item,Quality clothing product for everyday use. Quick dry. Wrinkle resistant.,StyleFit,"[np.str_('Quick dry'), np.str_('Wrinkle resistant'), np.str_('Breathable fabric'), np.str_('Machine washable')]",0.806
Food & Beverage,45.21,B6ESQLA1MX,BestChoice Quality Food & Beverage Item,Quality food & beverage product for everyday use. Long lasting. Great value.,BestChoice,"[np.str_('Long lasting'), np.str_('Great value'), np.str_('Easy to use'), np.str_('Durable construction')]",0.85
Books,14.72,BN00NJA78I,TrustMark Professional Books Item,Quality books product for everyday use. High quality materials. Long lasting.,TrustMark,"[np.str_('High quality materials'), np.str_('Long lasting'), np.str_('Great value'), np.str_('Easy to use')]",0.818
Electronics,1255.11,BE6F0GNVZ5,SmartLife Smart Electronics Item,Quality electronics product for everyday use. LCD display. Fast charging.,SmartLife,"[np.str_('LCD display'), np.str_('Fast charging'), np.str_('Voice control'), np.str_('Bluetooth connectivity')]",0.797
Electronics,499.97,BH91L8RSPF,SmartLife Smart Electronics Item,Quality electronics product for everyday use. Long battery life. Voice control.,SmartLife,"[np.str_('Long battery life'), np.str_('Voice control'), np.str_('Bluetooth connectivity'), np.str_('LCD display')]",0.819
Health & Beauty,24.54,BAKEAY8EKS,PrimePick Classic Health & Beauty Item,Quality health & beauty product for everyday use. Easy to use. Long lasting.,PrimePick,"[np.str_('Easy to use'), np.str_('Long lasting'), np.str_('Great value'), np.str_('High quality materials')]",0.844
Health & Beauty,49.84,BYPH52AZD0,BestChoice Premium Health & Beauty Item,Quality health & beauty product for everyday use. Durable construction. Easy to use.,BestChoice,"[np.str_('Durable construction'), np.str_('Easy to use'), np.str_('Great value'), np.str_('High quality materials')]",0.878
Food & Beverage,10.57,BEU7CO9KER,PrimePick Professional Food & Beverage Item,Quality food & beverage product for everyday use. Easy to use. Long lasting.,PrimePick,"[np.str_('Easy to use'), np.str_('Long lasting'), np.str_('Durable construction'), np.str_('Great value')]",0.874
Sports & Outdoors,287.35,BXSK87RAVT,BestChoice Professional Sports & Outdoors Item,Quality sports & outdoors product for everyday use. Long lasting. Great value.,BestChoice,"[np.str_('Long lasting'), np.str_('Great value'), np.str_('Easy to use'), np.str_('High quality materials')]",0.899
Clothing,34.59,BW0F0PA8FV,ClassicWear Lightweight Clothing Item,Quality clothing product for everyday use. Wrinkle resistant. Breathable fabric.,ClassicWear,"[np.str_('Wrinkle resistant'), np.str_('Breathable fabric'), np.str_('Stretch fit'), np.str_('Quick dry')]",0.852
Clothing,163.81,B7PQW24AXD,StyleFit Stylish Clothing Item,Quality clothing product for everyday use. Breathable fabric. Quick dry.,StyleFit,"[np.str_('Breathable fabric'), np.str_('Quick dry'), np.str_('Stretch fit'), np.str_('Wrinkle resistant')]",0.782
Home & Garden,402.47,B3QIMT1V75,PrimePick Essential Home & Garden Item,Quality home & garden product for everyday use. High quality materials. Great value.,PrimePick,"[np.str_('High quality materials'), np.str_('Great value'), np.str_('Long lasting'), np.str_('Easy to use')]",0.872
Food & Beverage,23.57,BVEN7PEX85,PrimePick Professional Food & Beverage Item,Quality food & beverage product for everyday use. Long lasting. High quality materials.,PrimePick,"[np.str_('Long lasting'), np.str_('High quality materials'), np.str_('Great value'), np.str_('Easy to use')]",0.912
Home & Garden,138.96,BQJI90438D,ValueBrand Premium Home & Garden Item,Quality home & garden product for everyday use. Easy to use. Durable construction.,ValueBrand,"[np.str_('Easy to use'), np.str_('Durable construction'), np.str_('Great value'), np.str_('High quality materials')]",0.859
Health & Beauty,50.8,BCMFG3LL7F,BestChoice Professional Health & Beauty Item,Quality health & beauty product for everyday use. High quality materials. Great value.,BestChoice,"[np.str_('High quality materials'), np.str_('Great value'), np.str_('Easy to use'), np.str_('Long lasting')]",0.915
