category,price,product_identifier,title,description,brand,features,quality_score
Electronics,686.37,B1P4DZHDS9,NexGen Advanced Electronics Item,Quality electronics product for everyday use. Voice control. LCD display.,NexGen,"[np.str_('Voice control'), np.str_('LCD display'), np.str_('Bluetooth connectivity'), np.str_('Long battery life')]",0.797
Toys & Games,80.75,B1SE4QSNG7,PrimePick Quality Toys & Games Item,Quality toys & games product for everyday use. Easy to use. Durable construction.,PrimePick,"[np.str_('Easy to use'), np.str_('Durable construction'), np.str_('High quality materials'), np.str_('Great value')]",0.844
Food & Beverage,42.02,BXTPQIDT5C,BestChoice Premium Food & Beverage Item,Quality food & beverage product for everyday use. Long lasting. Great value.,BestChoice,"[np.str_('Long lasting'), np.str_('Great value'), np.str_('Easy to use'), np.str_('High quality materials')]",0.85
Food & Beverage,33.42,B3F1ZMC8Q6,PrimePick Professional Food & Beverage Item,Quality food & beverage product for everyday use. Easy to use. High quality materials.,PrimePick,"[np.str_('Easy to use'), np.str_('High quality materials'), np.str_('Durable construction'), np.str_('Great value')]",0.909
Toys & Games,27.52,B2NQRBTF0Y,QualityFirst Essential Toys & Games Item,Quality toys & games product for everyday use. High quality materials. Durable construction.,QualityFirst,"[np.str_('High quality materials'), np.str_('Durable construction'), np.str_('Easy to use'), np.str_('Long lasting')]",0.912
Health & Beauty,77.66,B0OL6NCQ2G,TrustMark Professional Health & Beauty Item,Quality health & beauty product for everyday use. High quality materials. Long lasting.,TrustMark,"[np.str_('High quality materials'), np.str_('Long lasting'), np.str_('Durable construction'), np.str_('Great value')]",0.912
Books,33.79,BELIUY7PF3,PrimePick Premium Books Item,Quality books product for everyday use. Easy to use. High quality materials.,PrimePick,"[np.str_('Easy to use'), np.str_('High quality materials'), np.str_('Great value'), np.str_('Long lasting')]",0.784
Toys & Games,38.11,BZ13P24N6K,TrustMark Classic Toys & Games Item,Quality toys & games product for everyday use. Durable construction. Great value.,TrustMark,"[np.str_('Durable construction'), np.str_('Great value'), np.str_('Long lasting'), np.str_('Easy to use')]",0.844
Clothing,40.85,BY3H2A222X,TrendyThreads Lightweight Clothing Item,Quality clothing product for everyday use. Wrinkle resistant. Quick dry.,TrendyThreads,"[np.str_('Wrinkle resistant'), np.str_('Quick dry'), np.str_('Machine washable'), np.str_('Stretch fit')]",0.836
Books,49.04,BZUQSUBFIE,ValueBrand Premium Books Item,Quality books product for everyday use. Durable construction. Easy to use.,ValueBrand,"[np.str_('Durable construction'), np.str_('Easy to use'), np.str_('High quality materials'), np.str_('Great value')]",0.783
Books,33.55,BY4UC1UWUT,PrimePick Premium Books Item,Quality books product for everyday use. Great value. High quality materials.,PrimePick,"[np.str_('Great value'), np.str_('High quality materials'), np.str_('Durable construction'), np.str_('Long lasting')]",0.784
Electronics,490.73,BUVBMP9HJO,SmartLife Advanced Electronics Item,Quality electronics product for everyday use. Voice control. LCD display.,SmartLife,"[np.str_('Voice control'), np.str_('LCD display'), np.str_('Long battery life'), np.str_('Fast charging')]",0.816
