category,price,product_identifier,title,description,brand,features,quality_score,enriched
Electronics,686.37,B1P4DZHDS9,TechPro Revolutionary Electronics Item,Premium electronics product with exceptional quality. Crystal-clear OLED display. Advanced Bluetooth 5.0.,TechPro,"[np.str_('Crystal-clear OLED display'), np.str_('Advanced Bluetooth 5.0'), np.str_('Lightning-fast charging'), np.str_('Intelligent voice assistant')]",1.0,True
Toys & Games,80.75,B1SE4QSNG7,ValueBrand Best-in-Class Toys & Games Item,Premium toys & games product with exceptional quality. Premium-grade materials. Enhanced durability.,ValueBrand,"[np.str_('Premium-grade materials'), np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Extended lifespan')]",1.0,True
Food & Beverage,42.02,BXTPQIDT5C,ValueBrand Premium Food & Beverage Item,Premium food & beverage product with exceptional quality. Enhanced durability. Extended lifespan.,ValueBrand,"[np.str_('Enhanced durability'), np.str_('Extended lifespan'), np.str_('Premium-grade materials'), np.str_('Intuitive design')]",1.0,True
Food & Beverage,33.42,B3F1ZMC8Q6,BestChoice Professional-Grade Food & Beverage Item,Premium food & beverage product with exceptional quality. Exceptional value. Enhanced durability.,BestChoice,"[np.str_('Exceptional value'), np.str_('Enhanced durability'), np.str_('Extended lifespan'), np.str_('Intuitive design')]",1.0,True
Toys & Games,27.52,B2NQRBTF0Y,ValueBrand Award-Winning Toys & Games Item,Premium toys & games product with exceptional quality. Premium-grade materials. Intuitive design.,ValueBrand,"[np.str_('Premium-grade materials'), np.str_('Intuitive design'), np.str_('Enhanced durability'), np.str_('Extended lifespan')]",1.0,True
Health & Beauty,77.66,B0OL6NCQ2G,TrustMark Award-Winning Health & Beauty Item,Premium health & beauty product with exceptional quality. Enhanced durability. Exceptional value.,TrustMark,"[np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Premium-grade materials')]",1.0,True
Books,33.79,BELIUY7PF3,BestChoice Professional-Grade Books Item,Premium books product with exceptional quality. Premium-grade materials. Enhanced durability.,BestChoice,"[np.str_('Premium-grade materials'), np.str_('Enhanced durability'), np.str_('Extended lifespan'), np.str_('Intuitive design')]",1.0,True
Toys & Games,38.11,BZ13P24N6K,QualityFirst Premium Toys & Games Item,Premium toys & games product with exceptional quality. Premium-grade materials. Extended lifespan.,QualityFirst,"[np.str_('Premium-grade materials'), np.str_('Extended lifespan'), np.str_('Intuitive design'), np.str_('Exceptional value')]",1.0,True
Clothing,40.85,BY3H2A222X,ComfortPlus Eco-Conscious Clothing Item,Premium clothing product with exceptional quality. Rapid-dry technology. Easy-care machine washable.,ComfortPlus,"[np.str_('Rapid-dry technology'), np.str_('Easy-care machine washable'), np.str_('Advanced moisture-wicking fabric'), np.str_('Permanent wrinkle-free technology')]",1.0,True
Books,49.04,BZUQSUBFIE,PrimePick Premium Books Item,Premium books product with exceptional quality. Extended lifespan. Enhanced durability.,PrimePick,"[np.str_('Extended lifespan'), np.str_('Enhanced durability'), np.str_('Intuitive design'), np.str_('Premium-grade materials')]",1.0,True
