category,price,product_identifier,title,description,brand,features,quality_score
Electronics,686.37,B1P4DZHDS9,TechPro Pro Electronics Item,Quality electronics product for everyday use. Long battery life. Bluetooth connectivity.,TechPro,"[np.str_('Long battery life'), np.str_('Bluetooth connectivity'), np.str_('LCD display'), np.str_('Voice control')]",0.826
Toys & Games,80.75,B1SE4QSNG7,ValueBrand Quality Toys & Games Item,Quality toys & games product for everyday use. Easy to use. Durable construction.,ValueBrand,"[np.str_('Easy to use'), np.str_('Durable construction'), np.str_('Long lasting'), np.str_('High quality materials')]",0.85
Food & Beverage,42.02,BXTPQIDT5C,ValueBrand Premium Food & Beverage Item,Quality food & beverage product for everyday use. Great value. Long lasting.,ValueBrand,"[np.str_('Great value'), np.str_('Long lasting'), np.str_('High quality materials'), np.str_('Durable construction')]",0.85
Food & Beverage,33.42,B3F1ZMC8Q6,BestChoice Quality Food & Beverage Item,Quality food & beverage product for everyday use. Long lasting. High quality materials.,BestChoice,"[np.str_('Long lasting'), np.str_('High quality materials'), np.str_('Easy to use'), np.str_('Durable construction')]",0.888
Toys & Games,27.52,B2NQRBTF0Y,ValueBrand Professional Toys & Games Item,Quality toys & games product for everyday use. Great value. Durable construction.,ValueBrand,"[np.str_('Great value'), np.str_('Durable construction'), np.str_('Long lasting'), np.str_('Easy to use')]",0.88
Health & Beauty,77.66,B0OL6NCQ2G,TrustMark Essential Health & Beauty Item,Quality health & beauty product for everyday use. High quality materials. Easy to use.,TrustMark,"[np.str_('High quality materials'), np.str_('Easy to use'), np.str_('Great value'), np.str_('Durable construction')]",0.891
Books,33.79,BELIUY7PF3,BestChoice Classic Books Item,Quality books product for everyday use. High quality materials. Durable construction.,BestChoice,"[np.str_('High quality materials'), np.str_('Durable construction'), np.str_('Great value'), np.str_('Easy to use')]",0.822
Toys & Games,38.11,BZ13P24N6K,QualityFirst Essential Toys & Games Item,Quality toys & games product for everyday use. Long lasting. Great value.,QualityFirst,"[np.str_('Long lasting'), np.str_('Great value'), np.str_('Durable construction'), np.str_('Easy to use')]",0.846
Clothing,40.85,BY3H2A222X,ComfortPlus Comfortable Clothing Item,Quality clothing product for everyday use. Wrinkle resistant. Breathable fabric.,ComfortPlus,"[np.str_('Wrinkle resistant'), np.str_('Breathable fabric'), np.str_('Machine washable'), np.str_('Quick dry')]",0.852
Books,49.04,BZUQSUBFIE,PrimePick Premium Books Item,Quality books product for everyday use. Great value. Durable construction.,PrimePick,"[np.str_('Great value'), np.str_('Durable construction'), np.str_('Long lasting'), np.str_('High quality materials')]",0.777
Books,33.55,BY4UC1UWUT,TrustMark Quality Books Item,Quality books product for everyday use. Durable construction. High quality materials.,TrustMark,"[np.str_('Durable construction'), np.str_('High quality materials'), np.str_('Easy to use'), np.str_('Long lasting')]",0.816
Electronics,490.73,BUVBMP9HJO,DigiMax Pro Electronics Item,Quality electronics product for everyday use. Fast charging. Long battery life.,DigiMax,"[np.str_('Fast charging'), np.str_('Long battery life'), np.str_('Bluetooth connectivity'), np.str_('LCD display')]",0.795
Health & Beauty,24.84,B43C4K7KPX,PrimePick Classic Health & Beauty Item,Quality health & beauty product for everyday use. Durable construction. Easy to use.,PrimePick,"[np.str_('Durable construction'), np.str_('Easy to use'), np.str_('Great value'), np.str_('High quality materials')]",0.872
Clothing,160.02,BU9XOOP3LG,ComfortPlus Premium Clothing Item,Quality clothing product for everyday use. Quick dry. Stretch fit.,ComfortPlus,"[np.str_('Quick dry'), np.str_('Stretch fit'), np.str_('Breathable fabric'), np.str_('Machine washable')]",0.779
