category,price,product_identifier,title,description,brand,features,quality_score,enriched
Electronics,686.37,B1P4DZHDS9,NexGen Revolutionary Electronics Item,Premium electronics product with exceptional quality. Crystal-clear OLED display. Advanced Bluetooth 5.0.,NexGen,"[np.str_('Crystal-clear OLED display'), np.str_('Advanced Bluetooth 5.0'), np.str_('Lightning-fast charging'), np.str_('Intelligent voice assistant')]",1.0,True
Toys & Games,80.75,B1SE4QSNG7,PrimePick Best-in-Class Toys & Games Item,Premium toys & games product with exceptional quality. Premium-grade materials. Enhanced durability.,PrimePick,"[np.str_('Premium-grade materials'), np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Extended lifespan')]",1.0,True
Food & Beverage,42.02,BXTPQIDT5C,BestChoice Premium Food & Beverage Item,Premium food & beverage product with exceptional quality. Enhanced durability. Extended lifespan.,BestChoice,"[np.str_('Enhanced durability'), np.str_('Extended lifespan'), np.str_('Premium-grade materials'), np.str_('Intuitive design')]",1.0,True
Food & Beverage,33.42,B3F1ZMC8Q6,PrimePick Professional-Grade Food & Beverage Item,Premium food & beverage product with exceptional quality. Exceptional value. Enhanced durability.,PrimePick,"[np.str_('Exceptional value'), np.str_('Enhanced durability'), np.str_('Extended lifespan'), np.str_('Intuitive design')]",1.0,True
Toys & Games,27.52,B2NQRBTF0Y,QualityFirst Award-Winning Toys & Games Item,Premium toys & games product with exceptional quality. Premium-grade materials. Intuitive design.,QualityFirst,"[np.str_('Premium-grade materials'), np.str_('Intuitive design'), np.str_('Enhanced durability'), np.str_('Extended lifespan')]",1.0,True
Health & Beauty,77.66,B0OL6NCQ2G,TrustMark Award-Winning Health & Beauty Item,Premium health & beauty product with exceptional quality. Enhanced durability. Exceptional value.,TrustMark,"[np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Premium-grade materials')]",1.0,True
Books,33.79,BELIUY7PF3,PrimePick Professional-Grade Books Item,Premium books product with exceptional quality. Premium-grade materials. Enhanced durability.,PrimePick,"[np.str_('Premium-grade materials'), np.str_('Enhanced durability'), np.str_('Extended lifespan'), np.str_('Intuitive design')]",1.0,True
Toys & Games,38.11,BZ13P24N6K,TrustMark Premium Toys & Games Item,Premium toys & games product with exceptional quality. Premium-grade materials. Extended lifespan.,TrustMark,"[np.str_('Premium-grade materials'), np.str_('Extended lifespan'), np.str_('Intuitive design'), np.str_('Exceptional value')]",1.0,True
Clothing,40.85,BY3H2A222X,TrendyThreads Eco-Conscious Clothing Item,Premium clothing product with exceptional quality. Rapid-dry technology. Easy-care machine washable.,TrendyThreads,"[np.str_('Rapid-dry technology'), np.str_('Easy-care machine washable'), np.str_('Advanced moisture-wicking fabric'), np.str_('Permanent wrinkle-free technology')]",1.0,True
Books,49.04,BZUQSUBFIE,ValueBrand Premium Books Item,Premium books product with exceptional quality. Extended lifespan. Enhanced durability.,ValueBrand,"[np.str_('Extended lifespan'), np.str_('Enhanced durability'), np.str_('Intuitive design'), np.str_('Premium-grade materials')]",1.0,True
Books,33.55,BY4UC1UWUT,PrimePick Industry-Leading Books Item,Premium books product with exceptional quality. Intuitive design. Extended lifespan.,PrimePick,"[np.str_('Intuitive design'), np.str_('Extended lifespan'), np.str_('Premium-grade materials'), np.str_('Exceptional value')]",1.0,True
Electronics,490.73,BUVBMP9HJO,SmartLife Premium Electronics Item,Premium electronics product with exceptional quality. Intelligent voice assistant. Lightning-fast charging.,SmartLife,"[np.str_('Intelligent voice assistant'), np.str_('Lightning-fast charging'), np.str_('Crystal-clear OLED display'), np.str_('Advanced Bluetooth 5.0')]",1.0,True
Health & Beauty,24.84,B43C4K7KPX,ValueBrand Best-in-Class Health & Beauty Item,Premium health & beauty product with exceptional quality. Intuitive design. Extended lifespan.,ValueBrand,"[np.str_('Intuitive design'), np.str_('Extended lifespan'), np.str_('Premium-grade materials'), np.str_('Enhanced durability')]",1.0,True
Clothing,160.02,BU9XOOP3LG,UrbanWear Performance Clothing Item,Premium clothing product with exceptional quality. Rapid-dry technology. Permanent wrinkle-free technology.,UrbanWear,"[np.str_('Rapid-dry technology'), np.str_('Permanent wrinkle-free technology'), np.str_('Advanced moisture-wicking fabric'), np.str_('4-way stretch comfort')]",1.0,True
Home & Garden,63.22,BA10ZQZF6S,PrimePick Premium Home & Garden Item,Premium home & garden product with exceptional quality. Enhanced durability. Intuitive design.,PrimePick,"[np.str_('Enhanced durability'), np.str_('Intuitive design'), np.str_('Extended lifespan'), np.str_('Premium-grade materials')]",1.0,True
Health & Beauty,58.14,BFRQFNIKYW,BestChoice Premium Health & Beauty Item,Premium health & beauty product with exceptional quality. Extended lifespan. Intuitive design.,BestChoice,"[np.str_('Extended lifespan'), np.str_('Intuitive design'), np.str_('Enhanced durability'), np.str_('Exceptional value')]",1.0,True
Sports & Outdoors,39.98,BNMEM8N6RZ,ValueBrand Premium Sports & Outdoors Item,Premium sports & outdoors product with exceptional quality. Intuitive design. Enhanced durability.,ValueBrand,"[np.str_('Intuitive design'), np.str_('Enhanced durability'), np.str_('Premium-grade materials'), np.str_('Exceptional value')]",1.0,True
Books,58.46,BJJ2JZ2Q0J,PrimePick Professional-Grade Books Item,Premium books product with exceptional quality. Enhanced durability. Exceptional value.,PrimePick,"[np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Extended lifespan'), np.str_('Premium-grade materials')]",1.0,True
Electronics,1358.77,BDEQZHZL3U,NexGen Cutting-Edge Electronics Item,Premium electronics product with exceptional quality. Industry-leading battery life. Intelligent voice assistant.,NexGen,"[np.str_('Industry-leading battery life'), np.str_('Intelligent voice assistant'), np.str_('Crystal-clear OLED display'), np.str_('Lightning-fast charging')]",1.0,True
Sports & Outdoors,259.14,BGA1RZXPLW,QualityFirst Industry-Leading Sports & Outdoors Item,Premium sports & outdoors product with exceptional quality. Premium-grade materials. Extended lifespan.,QualityFirst,"[np.str_('Premium-grade materials'), np.str_('Extended lifespan'), np.str_('Enhanced durability'), np.str_('Intuitive design')]",1.0,True
Clothing,135.22,BVWD1O2BGR,ClassicWear Premium Clothing Item,Premium clothing product with exceptional quality. Permanent wrinkle-free technology. 4-way stretch comfort.,ClassicWear,"[np.str_('Permanent wrinkle-free technology'), np.str_('4-way stretch comfort'), np.str_('Advanced moisture-wicking fabric'), np.str_('Rapid-dry technology')]",1.0,True
Clothing,41.74,BLYDGV2GK7,UrbanWear Designer Clothing Item,Premium clothing product with exceptional quality. Permanent wrinkle-free technology. Easy-care machine washable.,UrbanWear,"[np.str_('Permanent wrinkle-free technology'), np.str_('Easy-care machine washable'), np.str_('Rapid-dry technology'), np.str_('4-way stretch comfort')]",1.0,True
