category,price,product_identifier,date,impressions,visits,cart_adds,ordered_units,revenue
Electronics,686.37,B1P4DZHDS9,2024-11-01,0,0,0,0,0.0
Toys & Games,80.75,B1SE4QSNG7,2024-11-01,100,16,3,3,242.25
Food & Beverage,42.02,BXTPQIDT5C,2024-11-01,0,0,0,0,0.0
Food & Beverage,33.42,B3F1ZMC8Q6,2024-11-01,0,0,0,0,0.0
Toys & Games,27.52,B2NQRBTF0Y,2024-11-01,25,3,0,0,0.0
Health & Beauty,77.66,B0OL6NCQ2G,2024-11-01,50,7,1,0,0.0
Books,33.79,BELIUY7PF3,2024-11-01,10,1,0,0,0.0
Toys & Games,38.11,BZ13P24N6K,2024-11-01,0,0,0,0,0.0
Clothing,40.85,BY3H2A222X,2024-11-01,200,34,9,1,40.85
Books,49.04,BZUQSUBFIE,2024-11-01,10,1,0,0,0.0
Books,33.55,BY4UC1UWUT,2024-11-01,0,0,0,0,0.0
Electronics,490.73,BUVBMP9HJO,2024-11-01,0,0,0,0,0.0
Health & Beauty,24.84,B43C4K7KPX,2024-11-01,10,1,0,0,0.0
Clothing,160.02,BU9XOOP3LG,2024-11-01,25,3,0,0,0.0
Home & Garden,63.22,BA10ZQZF6S,2024-11-01,50,8,1,0,0.0
Health & Beauty,58.14,BFRQFNIKYW,2024-11-01,0,0,0,0,0.0
Sports & Outdoors,39.98,BNMEM8N6RZ,2024-11-01,0,0,0,0,0.0
Books,58.46,BJJ2JZ2Q0J,2024-11-01,10,1,0,0,0.0
Electronics,1358.77,BDEQZHZL3U,2024-11-01,10,1,0,0,0.0
Sports & Outdoors,259.14,BGA1RZXPLW,2024-11-01,0,0,0,0,0.0
Clothing,135.22,BVWD1O2BGR,2024-11-01,0,0,0,0,0.0
Clothing,41.74,BLYDGV2GK7,2024-11-01,25,3,0,0,0.0
Health & Beauty,32.97,BUWVKAF8PR,2024-11-01,25,3,0,0,0.0
Books,14.14,B2JRYRP7FU,2024-11-01,25,3,0,0,0.0
Sports & Outdoors,91.09,BR8LTS4PKA,2024-11-01,25,3,0,0,0.0
Home & Garden,450.16,B3TFKTLDXY,2024-11-01,0,0,0,0,0.0
Electronics,1006.16,BK0071LDW6,2024-11-01,10,1,0,0,0.0
Health & Beauty,10.69,BIFTTNL3Q3,2024-11-01,25,4,1,0,0.0
Health & Beauty,76.61,BLWKWS6J97,2024-11-01,50,6,1,0,0.0
Clothing,23.31,BFKP89F6D0,2024-11-01,50,7,1,0,0.0
Food & Beverage,45.21,B6ESQLA1MX,2024-11-01,10,1,0,0,0.0
Books,14.72,BN00NJA78I,2024-11-01,10,1,0,0,0.0
Electronics,1255.11,BE6F0GNVZ5,2024-11-01,10,1,0,0,0.0
Electronics,499.97,BH91L8RSPF,2024-11-01,10,1,0,0,0.0
Health & Beauty,24.54,BAKEAY8EKS,2024-11-01,0,0,0,0,0.0
